Image,Title,Price,Ratings,Review,Monthly Sales
https://m.media-amazon.com/images/I/71jO8kM1pfL._AC_UL320_.jpg,YOUVA Navneet Case Bound | 5 Subject Book | 18.5x24.7 cm | Single Line | 400 Pages | Pack of 1,187,4.4 out of 5 stars,"1,100",600+ bought in past month
https://m.media-amazon.com/images/I/612Z9cuWLpL._AC_UL320_.jpg,"soundcore by Anker R50i VI True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization (Blue)",899,4.1 out of 5 stars,"47,769",500+ bought in past month
https://m.media-amazon.com/images/I/71P2VJ3jH9L._AC_UL320_.jpg,"STRIFF Professional 3-in-1 Laptop Cleaning kit, Laptop Cleaner, Screen Cleaner, Mobile Cleaning kit, Cleaning Kit for Camera, Lens, Binocular, Laptop, TV, Monitor, Smartphone, Tablet",119,3.8 out of 5 stars,450,500+ bought in past month
https://m.media-amazon.com/images/I/51VK3X04X8L._AC_UL320_.jpg,"Cosmic Byte Raptor Dual Mode RGB Mouse, Pixart 3212 Sensor, Upto 4800 DPI, 10 Million Switches, 500Hz Polling Rate, Braided Cable, 11 RGB Effects, PTFE Mouse Feet (Black)",749,4.3 out of 5 stars,232,500+ bought in past month
https://m.media-amazon.com/images/I/71tqLwEKEEL._AC_UL320_.jpg,"ESR 2 Pack Paper-Feel Screen Protector for iPad Air 11 Inch M3/M2 (7th/6th Generation, 2025/2024), Write and Draw Like on Paper, Matte Screen Guard with Easy Application Tray, Thin&Responsive","1,327",4.0 out of 5 stars,"9,601",700+ bought in past month
https://m.media-amazon.com/images/I/61UeXO8uX0L._AC_UL320_.jpg,"FLAIR Hotline Fineliner Metal Tip Pen | Tip Size 0.7 to 1 mm | Comfortable Grip | Fineliner Pens Set For Mandala, Sketching, Doodling, Journal and Outline | 10 Shades.|Multicolor",100,4.3 out of 5 stars,"3,227",700+ bought in past month
https://m.media-amazon.com/images/I/61VZKl2y0lL._AC_UL320_.jpg,"Amazon Brand - Solimo Edge-To-Edge Protector Privacy Tempered Glass for iPhone 14, iPhone 13 and 13 Pro (6.1 Inch) with Easy Self Installation Kit | Black",179,3.9 out of 5 stars,"2,323",500+ bought in past month
https://m.media-amazon.com/images/I/61c+Jl0BuAL._AC_UL320_.jpg,"Portronics Luxcell MagClick 10k 10000 mAh 15W Magnetic Wireless Fast Charging Nano Power Bank Premium Finish, 22.5 Wired Output Compatible with iPhone 12 & Above,Type C Smartphones,Tablets(Beige)","1,398",3.9 out of 5 stars,"5,702",1K+ bought in past month
https://m.media-amazon.com/images/I/71hi6uFZeNL._AC_UL320_.jpg,"Ant Esports NC230 RGB Gaming Notebook Cooler, 10"" - 17"" + Gaming Laptop Cooling Pad for PC + USB Powered Fan + Very Stable and Silent + Compatible Mac and PS5/PS4",549,3.7 out of 5 stars,361,200+ bought in past month
https://m.media-amazon.com/images/I/51+37BN9UGL._AC_UL320_.jpg,"HAMMER 1.5M Type C to Type C 5A (100W) PD Fast Charging Cable with EMK Chip, Rapid Data Transfer, Anti-Breakage Wire, Compatible with Smartphone all C-Type Enabled Devices (White)",229,4.2 out of 5 stars,"1,647",800+ bought in past month
https://m.media-amazon.com/images/I/61B-D8uQnoL._AC_UL320_.jpg,"Zeno 20 | AI Vana 2.0 | 3GB RAM 64GB ROM | 6.6"" HD+ 90Hz Display | 13MP AI Camera | IP54 Rated | Always-On Display | Dynamic Bar | DTS Sound | 5000mAh Battery |3-Year Fluency|Starlit Black","5,749",3.9 out of 5 stars,6,
https://m.media-amazon.com/images/I/51new65CfXL._AC_UL320_.jpg,"Amazon Basics Smart Matte Flip Case Cover for Apple iPad Air 11 Inch M2 2024, Air 6th /5th Gen 2022 /4th Gen 2020| Trifold Stand, Hard Back (Black)",389,4.1 out of 5 stars,"1,003",400+ bought in past month
https://m.media-amazon.com/images/I/617UzMOKS1L._AC_UL320_.jpg,"Dyazo slim 15"" to 15.6 Inch Laptop Sleeve, Laptop cover Case with handle & Accessories pocket Universal compatible for Dell, HP, Lenovo, Asus and all other Notebook etc. (Grey)",245,4.3 out of 5 stars,"2,243",500+ bought in past month
https://m.media-amazon.com/images/I/41NkEn026DL._AC_UL320_.jpg,"ONE PLUS Original 80W Usb Type C Data Sync Fast Charging Charger Cable Compatible With One Plus 12 5G,11,11R,10R,10T,10,10 Pro,9 Pro,8,8T,7T,7T Pro,Nord,2,2T,Ce 2 Lite,Ce 3 Lite,Nord Ce3,Red",199,3.8 out of 5 stars,455,700+ bought in past month
https://m.media-amazon.com/images/I/71aVMk4SxyL._AC_UL320_.jpg,"Genie Miami Casual Backpack for Girls |14 In-13 Ltr with Tablet Sleeve,One Compartment,Light Weight with Padded Shoulders |Best for Books,Stationery, Lunch Box & Essentials - Rose",431,4.3 out of 5 stars,"8,304",600+ bought in past month
https://m.media-amazon.com/images/I/71AwIka+O1L._AC_UL320_.jpg,"Duracell Ultra 9V Battery, Pack of 1, High-Drain Devices, Smoke Alarm, Radio, Smoke Detector",285,4.4 out of 5 stars,"2,039",500+ bought in past month
https://m.media-amazon.com/images/I/515OT+DhAuL._AC_UL320_.jpg,"Portronics Conch Theta A in Ear 3.5mm Wired Earphones with In Line HD Mic, Powerful Audio, 14.2mm Dynamic Driver, Unique Earbuds Design, TPE Anti Tangle Wire,In line Controls,Wide Compatibility(White)",229,4.0 out of 5 stars,"1,143",1K+ bought in past month
https://m.media-amazon.com/images/I/71qTisjFUbL._AC_UL320_.jpg,"Mivi Fort H30 Portable Bluetooth Speakers Soundbar – [Newly launched] 30W Bluetooth Soundbar for Campus Life, 2.0 Channel, Sleek Design, 6 Hours Playtime, Multi-connectivity, Made in India","1,699",4.1 out of 5 stars,895,500+ bought in past month
https://m.media-amazon.com/images/I/71OlNvqqZCL._AC_UL320_.jpg,Gear Vintage2 Anti Theft Faux Leather 28 Ltrs Brown Laptop Backpack (LBPVG2LTH0201),941,4.3 out of 5 stars,"14,815",600+ bought in past month
https://m.media-amazon.com/images/I/71Nwtop9jtL._AC_UL320_.jpg,"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Black, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery","97,999",4.5 out of 5 stars,"3,512",1K+ bought in past month
https://m.media-amazon.com/images/I/61lSz12ak9L._AC_UL320_.jpg,EGOTUDE Compatible with iPhone 15 Case | Shockproof Transparent Anti-Scratch Hard Back Cover (Polycarbonate | Clear),255,4.2 out of 5 stars,"5,267",600+ bought in past month
https://m.media-amazon.com/images/I/814L3JV9ByL._AC_UL320_.jpg,"Cubic A7 Wiro Pocket Notebook - Pack of 10 (Black) | Spiral-Bound, Compact & Portable Notepad for Office, School, and Everyday Use",159,4.3 out of 5 stars,"1,402",700+ bought in past month
https://m.media-amazon.com/images/I/81AhR9oAusL._AC_UL320_.jpg,"Fastrack Limitless FS2+ Smart Watch, 2.01"" UltraVU Display, Functional Crown, SingleSync BT Calling, 110+ Sports Modes, 200+ Smartwatch Faces, Upto 7 Day Battery, AI Voice Assistant (Wine Red)","1,599",4.0 out of 5 stars,"15,852",700+ bought in past month
https://m.media-amazon.com/images/I/61TW7dDAZ7L._AC_UL320_.jpg,"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Silver Grey)","1,399",4.0 out of 5 stars,"44,335",500+ bought in past month
