Image,Ratings,Price,Monthly Sales,Review,Title
https://m.media-amazon.com/images/I/51sPXmiYUfL._AC_UY218_.jpg,4.1 out of 5 stars,185,3K+ bought in past month,"15,505","GM 4008 Strio Stereophonic Ring Doorbell, Wall-Mounted Ding Dong Bell, Soothing Chime Suitable for Hotel Rooms and Homes. (Pack of 1)"
https://m.media-amazon.com/images/I/611JToXX49L._AC_UY218_.jpg,4.0 out of 5 stars,249,4K+ bought in past month,"39,263","Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)"
https://m.media-amazon.com/images/I/71BTs5EIyZL._AC_UY218_.jpg,4.4 out of 5 stars,55,5K+ bought in past month,602,Scotch Brite Scrub Sponge -Pack of 3 for everyday utensil cleaning (Kitchen Scrubber with Sponge)
https://m.media-amazon.com/images/I/81VVv+eRQCL._AC_UY218_.jpg,4.1 out of 5 stars,197,4K+ bought in past month,"1,947","VOLTURI Non Scratch Wire Dish Cloth (Pack of 10), Steel Scrubber for Utensils Cleaning, Multipurpose Wet and Dry Cleaning, Stainless-Steel Dish Wash Scrubber for Washing Dishes, Sinks, Counters"
https://m.media-amazon.com/images/I/61KF2STBUsL._AC_UY218_.jpg,4.0 out of 5 stars,"1,149",3K+ bought in past month,"3,339",Purifit Shower and Tap Filter for Hard Water | Water Softener for Bathroom | Hard Water Filter | Reduce Hair Fall | Silver Finish
https://m.media-amazon.com/images/I/815XJU1dEKL._AC_UY218_.jpg,4.0 out of 5 stars,189,3K+ bought in past month,"36,200","Wolpin Kitchen Wall Stickers Wood Wallpaper DIY PVC Shelf Liner, Furniture, Almirah, Table Top, Wardrobe, Kitchen Cupboard Decal, Mahogany Brown"
https://m.media-amazon.com/images/I/71Ly0wXwvRL._AC_UY218_.jpg,4.3 out of 5 stars,"1,109",3K+ bought in past month,225,"Bonkaso Spin Mop with Stainless Steel Wringer & Big Wheels | 360° Rotating Mop, Adjustable Handle | Easy Floor Cleaning Bucket Set with 2 Microfiber Refills – Grey & Orange (46 x 26.5 x 23 cm)"
https://m.media-amazon.com/images/I/81cyN4KxppS._AC_UY218_.jpg,4.4 out of 5 stars,99,3K+ bought in past month,"5,034",Scotch-Brite Silver Sparks Scrubber for Utensil Cleaning (Everyday Dishwashing)- Pack 6
https://m.media-amazon.com/images/I/71a0mwTxooL._AC_UY218_.jpg,4.1 out of 5 stars,199,5K+ bought in past month,"10,139",ALOXE Cosmetic Organizer Box Drawers Storage Plastic Stationary Box | Make Up Organiser for Women (White)
https://m.media-amazon.com/images/I/81cgRn5yd9L._AC_UY218_.jpg,4.1 out of 5 stars,299,3K+ bought in past month,"7,115","Eveready CITYLITE Multipurpose Emergency Rechargeable Lantern|HL50|2W Torch & 3W Lantern|Micro USB Fast Charging|Overcharge Protection|Powered by 3.7V Li-Ion Battery|Red, Blue & Green, LED, 220 Lumen"
https://m.media-amazon.com/images/I/612K2lgbyIL._AC_UY218_.jpg,4.0 out of 5 stars,299,4K+ bought in past month,"7,961",Lifelong LLYM92 Yoga mat for Women & Men EVA Material 4mm Grey Anti Slip for Gym Workout
https://m.media-amazon.com/images/I/71pM93cxN1L._AC_UY218_.jpg,4.0 out of 5 stars,"1,446",4K+ bought in past month,"10,751","RIVERSOFT SF-15 PRO shower and tap filter for hard water with 15 stage | Water Softener for Bathroom | Hard Water Filter (Pack of 1,Chrome)"
https://m.media-amazon.com/images/I/71wkziBQHvL._AC_UY218_.jpg,4.4 out of 5 stars,250,3K+ bought in past month,"1,379",Amazon Brand - Presto! Non-Woven Kitchen Towel Roll | 80 Pulls (Pack of 2) | Size: 23 x 21 cm | Wavy Pattern (Red & Blue) | Washable and Reusable | Highly Absorbent | For Daily Use
https://m.media-amazon.com/images/I/81BtcaeJQCL._AC_UY218_.jpg,4.2 out of 5 stars,299,3K+ bought in past month,"11,756",Egles Kitchen Dishcloths 12pcs 11x12 Inches Bulk Cotton Kitchen Dish Cloths Scrubbing Wash Cloths Sets (Mix Color)
https://m.media-amazon.com/images/I/811LMdtseGL._AC_UY218_.jpg,4.2 out of 5 stars,207,3K+ bought in past month,"19,259","SPARTAN BS-02 8-in-1 Pc Screw Driver Kit With 3 Flat Blades, 3 Phillips Head, 1 Round Poker Bar, Extension Rod| Multi-purpose Tool Set Screwdriver Set (Multicolor)"
https://m.media-amazon.com/images/I/71kw7Pk0pAL._AC_UY218_.jpg,4.3 out of 5 stars,99,2K+ bought in past month,166,"Robustt Heavy Duty Rubber Hand gloves - 1 Pair (Free Size, Multicolor) for Dishwashing, gardening, kitchen cleaning"
https://m.media-amazon.com/images/I/61GZUdd7ZbL._AC_UY218_.jpg,4.0 out of 5 stars,208,2K+ bought in past month,"3,600","Dulux Simply Refresh Spray Paint | DIY, Quick Drying Gloss Finish for Metal, Wooden Furniture, Plastic, Walls, Cars & Bikes – 400ML (White)"
